original_id	parameter_name	redefined_id
MP:0002169	Skin	MP:0002060
MP:0002169	Lymph node	MP:0002339
MP:0002169	Eye with optic nerve	MP:0002092
MP:0002169	Large intestine	MP:0000489
MP:0002169	Kidney	MP:0002135
MP:0002169	Trachea	MP:0002282
MP:0002169	Thymus	MP:0000703
MP:0002169	Adrenal gland	MP:0000639
MP:0002169	Thyroid	MP:0000681
MP:0002169	Lung	MP:0001175
MP:0002169	Gall bladder	MP:0005084
MP:0002169	Spinal cord	MP:0000955
MP:0002169	Liver	MP:0000598
MP:0002169	Spleen	MP:0000689
MP:0002169	Pancreas	MP:0001944
MP:0002169	Esophagus	MP:0000467
MP:0002169	Stomach	MP:0000470
MP:0002169	Urinary bladder	MP:0000538
MP:0002169	Heart	MP:0000266
MP:0002169	Skeletal muscle	MP:0000759
MP:0002169	Brain	MP:0002152
MP:0002169	Small intestine	MP:0000496
MP:0002169	Liver	MP:0000598
MP:0002169	Uterus	MP:0001120
MP:0002169	Testes	MP:0001146
MP:0002169	Sternum	MP:0000157
MP:0002169	Prostate	MP:0001158
MP:0002169	Seminal vesicle	MP:0002059
MP:0002169	Ovary	MP:0001126
MP:0002169	Mammary gland	MP:0000627
MP:0002169	Epididymis	MP:0002631
